City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,293.46,66,75,6.71,CA,1692827257
1,albany,42.6001,-73.9662,298.48,48,52,1.2,US,1692827116
2,georgetown,5.4112,100.3354,300.11,96,40,2.06,MY,1692827036
3,verkhotur'ye,58.8627,60.8054,281.72,81,61,3.74,RU,1692827563
4,laguna,38.421,-121.4238,310.01,29,0,3.6,US,1692827563
5,iqaluit,63.7506,-68.5145,280.0,81,100,8.23,CA,1692827150
6,saint-philippe,-21.3585,55.7679,293.92,78,56,6.12,RE,1692827262
7,nuestra senora del rosario de caa cati,-27.7507,-57.6207,295.79,69,8,5.33,AR,1692827564
8,ust-tsilma,65.441,52.1498,281.13,95,100,5.16,RU,1692827564
9,aasiaat,68.7098,-52.8699,276.76,93,100,2.49,GL,1692827235
10,anna regina,7.2644,-58.5077,300.73,77,40,4.9,GY,1692827564
11,fort bragg,35.139,-79.006,305.32,31,0,3.6,US,1692827564
12,poyarkovo,49.6,128.6833,288.85,90,24,3.98,RU,1692827564
13,adrar,20.5022,-10.0711,310.08,24,51,3.08,MR,1692827564
14,atafu village,-8.5421,-172.5159,300.4,81,81,6.73,TK,1692827254
15,tolanaro,-25.0319,46.9987,295.19,83,20,8.23,MG,1692827565
16,port-aux-francais,-49.35,70.2167,277.38,97,99,13.34,TF,1692827233
17,whitehorse,60.7161,-135.0538,297.65,35,20,1.03,CA,1692827231
18,port mathurin,-19.6833,63.4167,295.64,74,56,11.62,MU,1692827260
19,margaret river,-33.95,115.0667,287.58,75,100,3.34,AU,1692827233
20,flin flon,54.7682,-101.865,289.06,88,100,2.57,CA,1692827566
21,kui buri,12.0828,99.8543,299.27,81,100,3.65,TH,1692827566
22,puerto natales,-51.7236,-72.4875,275.58,77,75,5.49,CL,1692827238
23,fale old settlement,-9.3852,-171.2468,300.98,79,87,8.07,TK,1692827279
24,port elizabeth,-33.918,25.5701,286.31,71,0,8.23,ZA,1692827255
25,shani,10.2162,12.062,295.64,87,100,1.22,NG,1692827566
26,callao,-12.0667,-77.15,294.1,77,100,4.12,PE,1692827212
27,portland,45.5234,-122.6762,300.43,44,75,4.12,US,1692827548
28,ushuaia,-54.8,-68.3,274.96,64,0,5.66,AR,1692827232
29,san-pedro,4.7485,-6.6363,297.32,92,56,1.83,CI,1692827567
30,vorgashor,67.5833,63.95,278.96,90,97,3.21,RU,1692827266
31,bethel,41.3712,-73.414,298.72,55,0,2.06,US,1692827252
32,punta arenas,-53.15,-70.9167,273.77,86,88,7.15,CL,1692827256
33,kayes,14.0,-11.0,300.83,72,73,1.4,ML,1692827567
34,ust-nera,64.5667,143.2,279.28,98,100,0.95,RU,1692827238
35,edinburgh of the seven seas,-37.0676,-12.3116,285.91,84,39,8.86,SH,1692827233
36,reyes,-14.3167,-67.3833,307.13,55,20,2.57,BO,1692827568
37,ta`u,-14.2336,-169.5144,299.8,68,50,7.5,AS,1692827260
38,maitum,6.0392,124.4986,299.02,81,92,2.09,PH,1692827568
39,wuxue,29.8506,115.5525,295.55,89,0,0.41,CN,1692827569
40,adamstown,-25.066,-130.1015,291.49,66,46,9.98,PN,1692827236
41,padang,-0.9492,100.3543,297.18,89,57,1.81,ID,1692827569
42,shushtar,32.0455,48.8567,310.66,11,19,0.47,IR,1692827569
43,acapulco de juarez,16.8634,-99.8901,303.1,74,87,3.98,MX,1692827323
44,wailua homesteads,22.0669,-159.378,303.39,73,40,6.17,US,1692827248
45,invercargill,-46.4,168.35,282.05,91,88,0.89,NZ,1692827020
46,alto barinas,8.5931,-70.2261,303.48,69,49,2.47,VE,1692827570
47,carnarvon,-24.8667,113.6333,289.52,75,0,5.12,AU,1692827570
48,nova vicosa,-17.8919,-39.3719,297.5,82,0,5.59,BR,1692827276
49,ribeira grande,38.5167,-28.7,294.69,68,20,6.71,PT,1692827263
50,cole harbour,44.6724,-63.4751,294.37,51,1,4.63,CA,1692827570
51,tinogasta,-28.0632,-67.5649,300.61,2,100,11.42,AR,1692827570
52,okotoks,50.7289,-113.9828,296.92,31,2,1.79,CA,1692827561
53,howrah,22.5892,88.3103,299.15,89,75,1.54,IN,1692827336
54,lebu,-37.6167,-73.65,282.3,83,72,3.69,CL,1692827251
55,pietermaritzburg,-29.6168,30.3928,287.31,93,100,1.11,ZA,1692827571
56,deir ez-zor,35.3359,40.1408,307.18,21,0,4.67,SY,1692827571
57,grytviken,-54.2811,-36.5092,273.16,98,98,1.09,GS,1692827237
58,port lincoln,-34.7333,135.8667,283.16,73,24,3.94,AU,1692827295
59,kapa'a,22.0752,-159.319,304.14,73,40,6.17,US,1692827282
60,utrik,11.2278,169.8474,301.25,75,86,3.87,MH,1692826981
61,pisco,-13.7,-76.2167,294.18,73,40,3.6,PE,1692827102
62,jayrud,33.8074,36.7404,296.85,39,0,0.35,SY,1692827572
63,waitangi,-43.9535,-176.5597,283.61,91,100,2.68,NZ,1692827242
64,puerto deseado,-47.7503,-65.8938,278.11,57,8,4.8,AR,1692827491
65,east ballina,-28.8667,153.5833,288.04,80,44,4.68,AU,1692827325
66,okha,53.5739,142.9478,287.54,96,100,3.68,RU,1692827573
67,chonchi,-42.6128,-73.8092,281.71,85,40,1.32,CL,1692827315
68,west island,-12.1568,96.8225,298.14,73,75,4.12,CC,1692827239
69,kitob,39.0843,66.8332,298.49,26,1,2.39,UZ,1692827573
70,puerto baquerizo moreno,-0.9,-89.6,299.7,69,40,3.6,EC,1692827259
71,pierre,44.3683,-100.351,305.66,55,0,0.0,US,1692827317
72,villa rica,33.7321,-84.9191,307.81,32,31,2.78,US,1692827507
73,tucumcari,35.1717,-103.725,306.45,23,40,7.72,US,1692827574
74,qaqortoq,60.7167,-46.0333,282.58,97,100,2.57,GL,1692827238
75,rio grande,-32.035,-52.0986,289.21,84,91,5.72,BR,1692827082
76,hamilton,39.1834,-84.5333,309.07,57,0,4.63,US,1692827270
77,bilibino,68.0546,166.4372,280.67,53,36,0.64,RU,1692827234
78,saint johnsbury,44.4192,-72.0151,298.3,52,0,1.54,US,1692827575
79,longboat key,27.4125,-82.659,307.63,54,40,4.12,US,1692827575
80,thompson,55.7435,-97.8558,295.24,46,40,3.09,CA,1692827266
81,kone,-21.0595,164.8658,294.72,66,89,1.74,NC,1692827228
82,el granada,37.5027,-122.4694,309.22,65,0,2.57,US,1692827575
83,korocha,50.8107,37.1953,288.55,71,5,3.22,RU,1692827576
84,puerto ayora,-0.7393,-90.3518,300.13,88,100,3.13,EC,1692827243
85,haiku-pauwela,20.9219,-156.3051,302.18,55,40,10.29,US,1692827242
86,zhalantun,48.0,122.7167,286.61,89,58,2.82,CN,1692827576
87,tazovsky,67.4667,78.7,282.6,89,99,3.11,RU,1692827342
88,papatowai,-46.5619,169.4708,284.31,77,96,1.6,NZ,1692827255
89,smithers,54.7804,-127.1743,297.33,41,20,3.09,CA,1692827261
90,zeya,53.75,127.2667,287.63,96,100,1.52,RU,1692827577
91,hage,53.6167,7.2667,290.34,83,14,2.16,DE,1692827577
92,kodiak,57.79,-152.4072,289.88,72,20,4.63,US,1692826993
93,whakatane,-37.9585,176.9854,285.25,76,9,2.68,NZ,1692827137
94,sidi akkacha,36.4647,1.3026,306.31,47,0,3.2,DZ,1692827578
95,mundri,-6.9558,111.71,295.77,76,17,2.71,ID,1692827578
96,sitka,57.0531,-135.33,289.09,72,75,1.54,US,1692827234
97,port alfred,-33.5906,26.891,286.8,58,0,7.98,ZA,1692827257
98,anadyr,64.75,177.4833,279.43,75,75,7.0,RU,1692827245
99,nova sintra,14.8667,-24.7167,297.75,81,34,4.57,CV,1692827289
100,chos malal,-37.3781,-70.2709,277.12,85,85,3.66,AR,1692827310
101,la'ie,21.6477,-157.9253,304.13,65,9,3.58,US,1692827194
102,dinguiraye,11.3,-10.7167,295.99,93,53,1.22,GN,1692827580
103,badiyah,22.45,58.8,302.96,52,100,3.27,OM,1692827580
104,rongelap,11.1635,166.8941,301.13,76,97,3.45,MH,1692827580
105,hawaiian paradise park,19.5933,-154.9731,300.39,77,100,2.57,US,1692827248
106,greenville,35.6127,-77.3663,303.24,45,40,2.57,US,1692827580
107,san rafael,-34.6177,-68.3301,283.88,63,76,3.28,AR,1692827494
108,luderitz,-26.6481,15.1594,287.92,73,21,7.08,NA,1692827581
109,cherepanovo,54.2222,83.381,289.24,91,6,3.67,RU,1692827581
110,queenstown,-31.8976,26.8753,278.69,71,4,1.64,ZA,1692827581
111,olonkinbyen,70.9221,-8.7187,279.19,83,100,1.28,SJ,1692827236
112,nouadhibou,20.931,-17.0347,298.14,83,1,5.66,MR,1692827012
113,kurchatov,51.6601,35.6521,285.38,79,2,3.07,RU,1692827582
114,kingston,17.997,-76.7936,303.68,79,20,2.57,JM,1692827047
115,antsiranana,-12.2787,49.2917,296.1,82,6,8.26,MG,1692827582
116,longyearbyen,78.2186,15.6401,279.06,87,100,1.03,SJ,1692827238
117,saint-pierre,-21.3393,55.4781,294.58,83,20,2.06,RE,1692827173
118,happy valley-goose bay,53.3168,-60.3315,289.32,51,75,6.69,CA,1692826980
119,blackmans bay,-43.0167,147.3167,280.22,90,100,2.86,AU,1692827234
120,ambovombe,-25.1667,46.0833,295.23,63,0,2.65,MG,1692827583
121,saint-francois,46.4154,3.9054,298.84,61,0,1.54,FR,1692827299
122,coahuayana de hidalgo,18.7,-103.6583,304.63,66,94,2.76,MX,1692827298
123,igarka,67.4667,86.5833,280.35,98,29,4.25,RU,1692827584
124,sittwe,20.15,92.9,299.36,89,98,2.26,MM,1692827584
125,yung shue wan,22.2333,114.1167,302.35,91,72,2.52,HK,1692827585
126,namtsy,62.7161,129.6658,282.17,78,76,1.43,RU,1692827585
127,kourou,5.1552,-52.6478,302.18,82,28,4.72,GF,1692827075
128,klyuchi,52.2667,79.1667,295.26,42,53,4.32,RU,1692827261
129,niquelandia,-14.4739,-48.4597,302.24,31,23,1.5,BR,1692827585
130,colonia,50.9333,6.95,294.24,73,0,0.51,DE,1692827409
131,hadibu,12.65,54.0333,299.55,82,42,6.86,YE,1692827300
132,isafjordur,66.0755,-23.124,284.22,78,48,0.06,IS,1692827232
133,berrotaran,-32.451,-64.3887,285.31,46,80,3.52,AR,1692827586
134,tamanrasset,22.785,5.5228,304.1,22,40,2.06,DZ,1692827587
135,port saint john's,-31.6229,29.5448,289.72,59,100,5.66,ZA,1692827141
136,touros,-5.1989,-35.4608,298.03,82,0,5.57,BR,1692827290
137,pedernales,18.0384,-71.744,300.89,78,100,1.04,DO,1692827587
138,belmonte,-15.8631,-38.8828,296.73,87,1,3.93,BR,1692827242
139,colares,38.7992,-9.4469,298.76,68,20,5.36,PT,1692827273
140,sarina,-21.4333,149.2167,292.19,1,6,3.24,AU,1692827588
141,carolina beach,34.0352,-77.8936,304.18,66,0,7.04,US,1692827588
142,pyay,18.8167,95.2167,297.43,96,100,2.12,MM,1692827588
143,jamestown,42.097,-79.2353,292.92,90,20,3.09,US,1692827231
144,putnok,48.3,20.4333,293.62,90,41,0.7,HU,1692827589
145,labrador city,52.9463,-66.9114,286.1,50,75,4.63,CA,1692827114
146,merritt island,28.5392,-80.672,306.05,75,20,5.14,US,1692827589
147,hermanus,-34.4187,19.2345,279.15,69,35,1.62,ZA,1692827269
148,bredasdorp,-34.5322,20.0403,281.23,78,16,2.29,ZA,1692827238
149,dazhou,31.2159,107.5009,295.52,79,93,1.71,CN,1692827590
150,udachny,66.4167,112.4,281.18,56,17,2.38,RU,1692827233
151,abnub,27.2696,31.1511,303.27,24,0,4.69,EG,1692827591
152,tiksi,71.6872,128.8694,277.22,85,68,1.42,RU,1692827265
153,papao,-17.75,-149.55,300.97,64,35,2.17,PF,1692827591
154,kovdor,67.5662,30.4758,280.47,91,66,1.72,RU,1692827287
155,nuku'alofa,-21.1333,-175.2,293.34,83,75,6.69,TO,1692827319
156,centenario do sul,-22.8211,-51.5953,301.13,33,17,2.42,BR,1692827592
157,stanley,54.868,-1.6985,288.16,84,0,3.09,GB,1692827264
158,staraya russa,57.9944,31.3608,284.31,98,69,2.19,RU,1692827592
159,san luis de la loma,17.2706,-100.8939,303.12,73,93,3.21,MX,1692827592
160,saipan,15.1355,145.701,301.84,100,40,2.57,MP,1692827240
161,point pedro,9.8167,80.2333,300.59,82,53,9.03,LK,1692827398
162,ar rutbah,33.0381,40.2848,306.55,21,1,2.22,IQ,1692827593
163,tucuma,-0.1833,-50.05,300.2,71,38,5.17,BR,1692827593
164,inarajan village,13.2736,144.7484,300.23,81,100,4.03,GU,1692827593
165,darzab,35.9774,65.3783,294.55,30,0,2.25,AF,1692827594
166,lihue,21.9789,-159.3672,303.73,66,40,6.17,US,1692827004
167,crane,31.3974,-102.3501,303.66,44,95,8.55,US,1692827258
168,lincoln city,44.9582,-124.0179,298.48,70,32,11.18,US,1692827583
169,horta,38.5333,-28.6333,294.27,74,20,6.26,PT,1692827594
170,longgang,37.6508,120.3286,296.73,67,61,1.87,CN,1692827595
171,khedbrahma,24.0333,73.05,297.84,85,100,4.35,IN,1692827595
172,north side,19.35,-81.2,303.15,84,40,2.06,KY,1692827595
173,santiago de cao,-7.9589,-79.2392,295.22,78,75,5.14,PE,1692827595
174,northam,51.0333,-4.2167,291.65,90,78,0.95,GB,1692827596
175,muzaffarabad,34.37,73.4711,296.45,97,60,1.23,PK,1692827596
176,eggenberg,47.0833,15.4,295.75,77,0,0.51,AT,1692827596
177,new norfolk,-42.7826,147.0587,280.88,83,100,1.22,AU,1692827249
178,lagunas,-5.2269,-75.6753,303.21,60,99,0.06,PE,1692827597
179,caister-on-sea,52.6481,1.7265,293.1,79,100,4.75,GB,1692827597
180,san salvador,13.6894,-89.1872,302.07,61,40,1.54,SV,1692827597
181,bathurst,-33.4166,149.5806,280.83,83,3,1.17,AU,1692827597
182,eydhafushi,5.1033,73.0708,300.82,75,19,5.35,MV,1692827597
183,lompoc,34.6391,-120.4579,306.92,76,100,4.12,US,1692827269
184,usinsk,65.9939,57.5281,280.21,97,100,4.62,RU,1692827598
185,arkhangel'sk,64.5401,40.5433,278.5,90,21,1.45,RU,1692827598
186,howard springs,-12.497,131.047,293.61,72,3,2.38,AU,1692827320
187,aykhal,66.0,111.5,281.53,58,19,2.93,RU,1692827076
188,purificacion,3.8587,-74.9313,308.52,32,81,2.71,CO,1692827599
189,talnakh,69.4865,88.3972,284.38,87,97,5.41,RU,1692827247
190,pasuquin,18.3328,120.6177,299.12,94,75,3.09,PH,1692827599
191,ikwiriri,-7.9562,38.9716,293.17,91,0,1.3,TZ,1692827600
192,ilulissat,69.2167,-51.1,282.16,81,75,3.6,GL,1692827244
193,villa ocampo,-28.4875,-59.3551,293.45,57,42,4.8,AR,1692827600
194,fort mcmurray,56.7268,-111.381,292.92,82,75,4.63,CA,1692827600
195,phan rang-thap cham,11.5667,108.9833,298.26,84,34,2.03,VN,1692827601
196,kosh-agach,50.0,88.6667,281.69,72,90,1.03,RU,1692827601
197,mineiros,-17.5694,-52.5511,301.66,23,5,1.51,BR,1692827069
198,lepsy,46.235,78.9456,298.29,24,0,2.13,KZ,1692827602
199,arno,60.1167,18.6333,290.25,90,90,3.07,SE,1692827603
200,broken hill,-31.95,141.4333,283.03,45,0,2.55,AU,1692827248
201,avarua,-21.2078,-159.775,298.18,69,40,5.66,CK,1692827237
202,tadine,-21.55,167.8833,293.22,69,93,5.53,NC,1692827604
203,quellon,-43.1167,-73.6167,280.29,70,75,5.14,CL,1692827604
204,mount isa,-20.7333,139.5,288.02,36,3,3.09,AU,1692827309
205,los zacatones,22.95,-102.05,299.5,35,89,5.9,MX,1692827605
206,ghardaia,32.4909,3.6735,304.79,19,0,2.06,DZ,1692827605
207,kimberley,-28.7323,24.7623,278.98,56,15,1.03,ZA,1692827605
208,cotonou,6.3654,2.4183,299.14,89,40,4.63,BJ,1692827606
209,enewetak,11.3474,162.3373,301.05,72,100,1.05,MH,1692827233
210,hashtpar,37.8008,48.9037,300.02,60,0,1.02,IR,1692827606
211,huilong,31.8111,121.655,298.11,87,3,2.55,CN,1692827606
212,jinsha,32.0898,121.0735,297.58,87,0,1.87,CN,1692827607
213,st. john's,47.5649,-52.7093,289.97,95,100,3.09,CA,1692827238
214,acarau,-2.8856,-40.12,299.28,74,6,7.25,BR,1692827260
215,beira,-19.8436,34.8389,293.2,94,0,3.6,MZ,1692827461
216,dolores,-36.3132,-57.6792,284.19,57,87,3.48,AR,1692827608
217,arvika,59.6553,12.5852,288.49,98,18,1.68,SE,1692827608
218,codrington,-38.2667,141.9667,280.87,86,99,5.73,AU,1692827608
219,kahriz,34.3838,47.0553,298.3,16,0,1.11,IR,1692827608
220,tres arroyos,-38.3739,-60.2798,281.73,40,0,4.08,AR,1692827608
221,pompeia,-22.1086,-50.1717,301.32,26,33,0.86,BR,1692827609
222,debeljaca,45.0711,20.6,300.26,45,0,3.09,RS,1692827609
223,sao gabriel da cachoeira,-0.1303,-67.0892,303.53,53,48,0.17,BR,1692827312
224,bubaque,11.2833,-15.8333,300.63,82,66,4.01,GW,1692827609
225,lethem,3.3803,-59.7968,305.18,62,20,6.17,GY,1692827610
226,puerto carreno,6.189,-67.4859,298.14,94,40,2.57,CO,1692827411
227,tarawa,1.419,172.984,303.2,74,20,1.54,KI,1692827610
228,hithadhoo,-0.6,73.0833,300.59,78,100,5.81,MV,1692827241
229,margate,51.3813,1.3862,293.09,81,98,1.79,GB,1692827305
230,harrison,30.4091,-89.0436,311.16,56,0,6.17,US,1692827611
231,altkirch,47.5833,7.1667,298.03,70,25,1.54,FR,1692827611
232,mirzapur,25.15,82.5833,299.57,88,100,2.44,IN,1692827612
233,launceston,-41.45,147.1667,282.95,100,75,3.6,AU,1692827612
234,hafar al-batin,28.4328,45.9708,310.47,22,0,1.54,SA,1692827612
235,mareeba,-17.0,145.4333,292.55,83,23,1.78,AU,1692827612
